,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0
2020-09-23 14:01:00,-0.5,-1.5,0.0,1.5,1.0,-1.0,0.5,-1.0,1.5,1.5,1.5,0.5
2020-09-23 14:02:00,-1.0,-1.6666666666666667,0.3333333333333333,1.3333333333333333,1.3333333333333333,-1.3333333333333333,0.3333333333333333,-0.6666666666666666,1.6666666666666667,2.0,1.3333333333333333,0.3333333333333333
2020-09-23 14:03:00,-1.5,-2.0,0.25,1.5,1.25,-1.5,0.0,-0.5,1.5,2.5,1.25,0.5
2020-09-23 14:04:00,-1.6,-2.2,0.0,1.6,1.4,-1.8,-0.2,-0.2,1.2,2.8,1.4,0.8
2020-09-23 14:05:00,-1.5,-2.5,-0.16666666666666666,1.8333333333333333,1.3333333333333333,-1.8333333333333333,-0.16666666666666666,0.16666666666666666,0.8333333333333334,3.1666666666666665,1.3333333333333333,0.8333333333333334
2020-09-23 14:06:00,-1.2857142857142858,-2.5714285714285716,-0.42857142857142855,2.142857142857143,1.2857142857142858,-2.0,-0.14285714285714285,0.5714285714285714,0.7142857142857143,3.4285714285714284,1.1428571428571428,0.7142857142857143
2020-09-23 14:07:00,-1.25,-2.5,-0.75,2.375,1.25,-2.25,0.0,1.0,0.75,3.75,1.0,0.75
2020-09-23 14:08:00,-1.3333333333333333,-2.4444444444444446,-1.0,2.6666666666666665,1.1111111111111112,-2.3333333333333335,0.2222222222222222,1.3333333333333333,0.8888888888888888,4.111111111111111,1.0,0.8888888888888888
2020-09-23 14:09:00,-1.4,-2.3,-1.3,3.0,1.0,-2.5,0.5,1.7,1.1,4.3,0.9,0.9
2020-09-23 14:10:00,-1.5454545454545454,-2.1818181818181817,-1.5454545454545454,3.3636363636363638,0.9090909090909091,-2.727272727272727,0.7272727272727273,2.0,1.1818181818181819,4.545454545454546,0.9090909090909091,0.8181818181818182
2020-09-23 14:11:00,-1.6666666666666667,-2.0,-1.75,3.75,0.8333333333333334,-2.8333333333333335,0.9166666666666666,2.3333333333333335,1.1666666666666667,4.666666666666667,1.0,0.75
2020-09-23 14:12:00,-1.8461538461538463,-1.8461538461538463,-2.0,4.153846153846154,0.7692307692307693,-2.923076923076923,1.0,2.5384615384615383,1.0769230769230769,4.769230769230769,1.1538461538461537,0.6923076923076923
2020-09-23 14:13:00,-2.0,-1.7857142857142858,-2.2857142857142856,4.5,0.7142857142857143,-2.9285714285714284,1.0714285714285714,2.7857142857142856,1.0,4.857142857142857,1.3571428571428572,0.5714285714285714
2020-09-23 14:14:00,-2.1333333333333333,-1.8,-2.533333333333333,4.733333333333333,0.6,-2.8666666666666667,1.1333333333333333,3.066666666666667,0.9333333333333333,4.933333333333334,1.4666666666666666,0.4
2020-09-23 14:15:00,-2.3125,-1.875,-2.8125,4.875,0.5,-2.875,1.1875,3.3125,0.9375,5.0625,1.5625,0.1875
2020-09-23 14:16:00,-2.5294117647058822,-1.8823529411764706,-3.0588235294117645,5.0,0.4117647058823529,-2.823529411764706,1.2941176470588236,3.5294117647058822,1.0,5.117647058823529,1.6470588235294117,0.058823529411764705
2020-09-23 14:17:00,-2.7222222222222223,-1.8888888888888888,-3.3333333333333335,5.166666666666667,0.2777777777777778,-2.8333333333333335,1.4444444444444444,3.7222222222222223,1.1111111111111112,5.111111111111111,1.7222222222222223,0.0
2020-09-23 14:18:00,-2.8421052631578947,-1.8421052631578947,-3.5789473684210527,5.2631578947368425,0.10526315789473684,-2.8421052631578947,1.5263157894736843,3.9473684210526314,1.2105263157894737,5.105263157894737,1.736842105263158,-0.10526315789473684
2020-09-23 14:19:00,-2.9,-1.8,-3.75,5.3,-0.1,-2.9,1.65,4.2,1.35,5.15,1.7,-0.25
2020-09-23 14:20:00,-2.9523809523809526,-1.7142857142857142,-3.857142857142857,5.285714285714286,-0.23809523809523808,-2.9047619047619047,1.8095238095238095,4.476190476190476,1.4285714285714286,5.190476190476191,1.6666666666666667,-0.38095238095238093
